5000	30447
3582	3912	373
3912	3582	371
3582	1164	373
1164	3582	113
3582	2179	373
2179	3582	199
3582	2074	373
2074	3582	129
2170	28	188
28	2170	160
2170	2318	188
2318	2170	38
2170	2639	188
2639	2170	165
2170	2907	188
2907	2170	164
2170	4616	188
4616	2170	136
3045	3066	92
3066	3045	160
3045	4439	92
4439	3045	63
3045	3577	92
3577	3045	104
3045	370	92
370	3045	104
3045	447	92
447	3045	63
3045	2802	92
2802	3045	40
3045	3264	92
3264	3045	81
3045	1595	92
1595	3045	116
3045	2337	92
2337	3045	140
3045	3950	92
3950	3045	312
4114	1650	180
1650	4114	197
4114	368	180
368	4114	160
4114	2884	180
2884	4114	52
4114	4479	180
4479	4114	4
4114	4194	180
4194	4114	219
4114	2661	180
2661	4114	218
3931	86	303
86	3931	204
3931	593	303
593	3931	13
3931	1089	303
1089	3931	349
3931	1153	303
1153	3931	77
3931	2297	303
2297	3931	360
3931	2354	303
2354	3931	399
3931	2550	303
2550	3931	137
3931	3166	303
3166	3931	291
3931	4058	303
4058	3931	210
3931	4323	303
4323	3931	381
3931	4531	303
4531	3931	49
3931	4536	303
4536	3931	363
3931	4654	303
4654	3931	42
3931	693	303
693	3931	79
564	556	286
556	564	30
564	3609	286
3609	564	360
400	119	352
119	400	377
400	585	352
585	400	284
400	753	352
753	400	34
400	1449	352
1449	400	254
400	1562	352
1562	400	47
400	1897	352
1897	400	44
400	2101	352
2101	400	223
400	2259	352
2259	400	187
400	2502	352
2502	400	150
400	3171	352
3171	400	253
400	3471	352
3471	400	43
400	3664	352
3664	400	196
400	4053	352
4053	400	324
400	4093	352
4093	400	157
400	4632	352
4632	400	93
400	4661	352
4661	400	309
400	421	352
421	400	277
1261	160	395
160	1261	386
1261	1211	395
1211	1261	214
1261	339	395
339	1261	157
1261	724	395
724	1261	257
1261	739	395
739	1261	137
1261	744	395
744	1261	94
1261	972	395
972	1261	104
1261	1025	395
1025	1261	239
1261	1144	395
1144	1261	144
1261	1292	395
1292	1261	33
1261	1346	395
1346	1261	275
1261	1357	395
1357	1261	161
1261	1440	395
1440	1261	316
1261	1569	395
1569	1261	133
1261	1729	395
1729	1261	255
1261	1758	395
1758	1261	171
1261	1901	395
1901	1261	367
1261	2329	395
2329	1261	42
1261	2354	395
2354	1261	399
1261	2434	395
2434	1261	244
1261	2559	395
2559	1261	325
1261	3213	395
3213	1261	33
1261	3354	395
3354	1261	143
1261	3559	395
3559	1261	296
1261	3901	395
3901	1261	209
1261	3969	395
3969	1261	64
1261	3995	395
3995	1261	384
1261	3996	395
3996	1261	364
1261	4051	395
4051	1261	103
1261	4110	395
4110	1261	135
1261	4292	395
4292	1261	23
1261	4883	395
4883	1261	155
1261	4906	395
4906	1261	239
1261	4820	395
4820	1261	207
1261	3945	395
3945	1261	295
1261	4488	395
4488	1261	67
906	1473	221
1473	906	123
906	930	221
930	906	245
906	950	221
950	906	326
906	965	221
965	906	54
906	993	221
993	906	315
906	1246	221
1246	906	140
906	1734	221
1734	906	70
906	1773	221
1773	906	206
906	1852	221
1852	906	336
906	2298	221
2298	906	300
906	2358	221
2358	906	95
906	2383	221
2383	906	200
906	2421	221
2421	906	151
906	2468	221
2468	906	280
906	2617	221
2617	906	267
906	2823	221
2823	906	127
906	3200	221
3200	906	127
906	3540	221
3540	906	381
906	3674	221
3674	906	99
906	3965	221
3965	906	310
906	4380	221
4380	906	280
906	4450	221
4450	906	399
383	339	60
339	383	157
383	1206	60
1206	383	102
383	2354	60
2354	383	399
383	2780	60
2780	383	63
383	4877	60
4877	383	194
3232	557	126
557	3232	147
3232	2354	126
2354	3232	399
3232	3229	126
3229	3232	348
3232	3313	126
3313	3232	241
3232	3774	126
3774	3232	322
3232	3815	126
3815	3232	90
3232	4576	126
4576	3232	323
3232	4764	126
4764	3232	146
2171	60	233
60	2171	29
2171	1064	233
1064	2171	387
2171	1421	233
1421	2171	12
2171	1634	233
1634	2171	117
2171	1911	233
1911	2171	283
2171	2708	233
2708	2171	75
2171	3138	233
3138	2171	265
2171	3167	233
3167	2171	53
2171	3861	233
3861	2171	173
2171	4044	233
4044	2171	112
2171	4660	233
4660	2171	333
2171	4963	233
4963	2171	129
2171	2892	233
2892	2171	173
4828	286	375
286	4828	51
4828	967	375
967	4828	319
4828	1189	375
1189	4828	43
4828	1930	375
1930	4828	27
4828	2044	375
2044	4828	273
4828	2092	375
2092	4828	277
4828	4020	375
4020	4828	373
4828	4399	375
4399	4828	106
4828	3153	375
3153	4828	73
4828	305	375
305	4828	68
4648	2215	185
2215	4648	360
4648	2354	185
2354	4648	399
4648	2764	185
2764	4648	110
1444	3310	326
3310	1444	359
1444	4961	326
4961	1444	206
1444	548	326
548	1444	394
1444	1383	326
1383	1444	324
1444	2354	326
2354	1444	399
1444	3295	326
3295	1444	366
1444	3330	326
3330	1444	109
4450	3674	399
3674	4450	99
4450	2421	399
2421	4450	151
2172	4930	92
4930	2172	243
2172	390	92
390	2172	64
2172	797	92
797	2172	394
2172	1545	92
1545	2172	195
2172	339	92
339	2172	157
2172	2354	92
2354	2172	399
2172	3730	92
3730	2172	267
2172	4074	92
4074	2172	279
2172	3939	92
3939	2172	354
4829	101	55
101	4829	1
4829	1757	55
1757	4829	14
4829	249	55
249	4829	264
4829	3769	55
3769	4829	321
1445	293	103
293	1445	354
1445	1096	103
1096	1445	221
1445	2354	103
2354	1445	399
1445	4576	103
4576	1445	323
2872	2349	55
2349	2872	315
2872	199	55
199	2872	287
2872	2354	55
2354	2872	399
2872	3101	55
3101	2872	8
2872	3153	55
3153	2872	73
2872	3524	55
3524	2872	145
2872	3973	55
3973	2872	112
743	39	335
39	743	16
743	919	335
919	743	18
743	1103	335
1103	743	270
743	1329	335
1329	743	62
743	1458	335
1458	743	381
743	1798	335
1798	743	305
743	2048	335
2048	743	188
743	2354	335
2354	743	399
743	3711	335
3711	743	139
743	3922	335
3922	743	114
743	4224	335
4224	743	53
743	4427	335
4427	743	157
743	4517	335
4517	743	391
743	3953	335
3953	743	79
743	815	335
815	743	370
743	1963	335
1963	743	178
743	2661	335
2661	743	218
1	216	25
216	1	112
1	386	25
386	1	361
1	1370	25
1370	1	162
1	1740	25
1740	1	88
1	2131	25
2131	1	35
1	2367	25
2367	1	194
1	4465	25
4465	1	333
1	4760	25
4760	1	322
1	91	25
91	1	110
1	4183	25
4183	1	231
1	1273	25
1273	1	80
1	2210	25
2210	1	168
1	3276	25
3276	1	3
1	3637	25
3637	1	103
1	242	25
242	1	136
1	2362	25
2362	1	113
1	3952	25
3952	1	366
1815	2998	22
2998	1815	85
1815	3244	22
3244	1815	89
1815	151	22
151	1815	76
1815	1291	22
1291	1815	48
1815	2354	22
2354	1815	399
1815	2767	22
2767	1815	359
1815	3987	22
3987	1815	19
1815	3645	22
3645	1815	164
1815	170	22
170	1815	6
1815	3748	22
3748	1815	241
1815	930	22
930	1815	245
1815	4496	22
4496	1815	39
1815	1618	22
1618	1815	279
1815	1703	22
1703	1815	58
1815	1974	22
1974	1815	279
1815	750	22
750	1815	231
1815	1010	22
1010	1815	190
1815	4803	22
4803	1815	61
1815	1204	22
1204	1815	143
1815	1850	22
1850	1815	115
1815	1913	22
1913	1815	279
1815	3801	22
3801	1815	340
1815	4060	22
4060	1815	107
1815	4281	22
4281	1815	341
1815	1283	22
1283	1815	283
1815	3639	22
3639	1815	389
1815	1310	22
1310	1815	206
1815	2816	22
2816	1815	211
1815	2274	22
2274	1815	44
1815	1574	22
1574	1815	1
1815	3035	22
3035	1815	51
1815	2539	22
2539	1815	162
1815	3336	22
3336	1815	243
1815	4491	22
4491	1815	302
4451	1121	302
1121	4451	151
4451	1511	302
1511	4451	232
4451	1739	302
1739	4451	193
4451	2424	302
2424	4451	34
4451	2576	302
2576	4451	57
4451	2585	302
2585	4451	80
4451	3176	302
3176	4451	138
4451	3425	302
3425	4451	162
4451	4273	302
4273	4451	21
4451	902	302
902	4451	240
4451	1249	302
1249	4451	205
4451	1824	302
1824	4451	365
4451	2354	302
2354	4451	399
4451	4227	302
4227	4451	29
4451	4441	302
4441	4451	28
1446	1751	63
1751	1446	181
1446	1917	63
1917	1446	358
1446	3723	63
3723	1446	91
1446	552	63
552	1446	32
1446	562	63
562	1446	290
1446	595	63
595	1446	276
1446	1141	63
1141	1446	247
1446	1148	63
1148	1446	291
1446	1191	63
1191	1446	13
1446	1329	63
1329	1446	62
1446	1441	63
1441	1446	140
1446	1609	63
1609	1446	273
1446	2135	63
2135	1446	117
1446	2297	63
2297	1446	360
1446	2855	63
2855	1446	176
1446	3166	63
3166	1446	291
1446	3483	63
3483	1446	262
1446	3730	63
3730	1446	267
1446	3881	63
3881	1446	86
1446	3922	63
3922	1446	114
1446	4008	63
4008	1446	113
1446	4095	63
4095	1446	136
1446	4135	63
4135	1446	255
1446	4531	63
4531	1446	49
1446	4537	63
4537	1446	215
1446	4955	63
4955	1446	51
1446	3473	63
3473	1446	340
1634	12	117
12	1634	253
1634	60	117
60	1634	29
1634	1126	117
1126	1634	290
1634	1289	117
1289	1634	276
1634	1257	117
1257	1634	157
1634	1328	117
1328	1634	209
1634	1911	117
1911	1634	283
1634	2697	117
2697	1634	2
1634	2708	117
2708	1634	75
1634	3138	117
3138	1634	265
1634	3735	117
3735	1634	316
1634	4248	117
4248	1634	137
1634	4340	117
4340	1634	373
1634	4374	117
4374	1634	71
1634	4651	117
4651	1634	362
1634	4660	117
4660	1634	333
1634	4963	117
4963	1634	129
1634	2315	117
2315	1634	208
1634	2784	117
2784	1634	74
1634	4566	117
4566	1634	322
1634	4644	117
4644	1634	111
1634	21	117
21	1634	311
1634	510	117
510	1634	127
1634	1080	117
1080	1634	304
1634	1513	117
1513	1634	57
1634	2934	117
2934	1634	241
1634	3135	117
3135	1634	110
1634	3872	117
3872	1634	36
1634	3994	117
3994	1634	203
1634	4373	117
4373	1634	284
1634	4573	117
4573	1634	136
1634	31	117
31	1634	327
1634	46	117
46	1634	369
1634	4210	117
4210	1634	169
1634	61	117
61	1634	42
1634	2723	117
2723	1634	38
1634	63	117
63	1634	327
1634	1515	117
1515	1634	366
1634	1662	117
1662	1634	273
1634	2007	117
2007	1634	286
1634	2392	117
2392	1634	297
1634	2674	117
2674	1634	365
1634	2806	117
2806	1634	364
1634	3279	117
3279	1634	182
1634	3482	117
3482	1634	195
1634	4982	117
4982	1634	379
1634	68	117
68	1634	357
1634	116	117
116	1634	84
1634	1244	117
1244	1634	78
1634	1442	117
1442	1634	229
1634	2647	117
2647	1634	3
1634	3059	117
3059	1634	223
1634	140	117
140	1634	264
1634	142	117
142	1634	303
1634	331	117
331	1634	163
1634	1358	117
1358	1634	71
1634	1500	117
1500	1634	56
1634	2351	117
2351	1634	71
1634	4681	117
4681	1634	387
1634	225	117
225	1634	176
1634	304	117
304	1634	153
1634	312	117
312	1634	289
1634	322	117
322	1634	116
1634	325	117
325	1634	386
1634	438	117
438	1634	311
1634	2566	117
2566	1634	212
1634	538	117
538	1634	95
1634	649	117
649	1634	82
1634	685	117
685	1634	151
1634	3221	117
3221	1634	256
1634	698	117
698	1634	114
1634	801	117
801	1634	65
1634	1012	117
1012	1634	333
1634	1050	117
1050	1634	120
1634	1109	117
1109	1634	95
1634	1227	117
1227	1634	363
1634	1330	117
1330	1634	161
1634	1660	117
1660	1634	231
1634	1838	117
1838	1634	28
1634	2021	117
2021	1634	125
1634	3074	117
3074	1634	194
1634	3083	117
3083	1634	152
1634	3210	117
3210	1634	139
1634	3230	117
3230	1634	114
1634	3289	117
3289	1634	299
1634	3489	117
3489	1634	237
1634	3595	117
3595	1634	203
1634	3611	117
3611	1634	15
1634	4268	117
4268	1634	304
1634	4319	117
4319	1634	368
1634	4473	117
4473	1634	62
1634	4754	117
4754	1634	163
1634	4881	117
4881	1634	205
1634	861	117
861	1634	329
1634	1352	117
1352	1634	153
1634	1619	117
1619	1634	89
1634	2466	117
2466	1634	345
1634	2987	117
2987	1634	59
1634	3685	117
3685	1634	276
1634	3755	117
3755	1634	293
1634	3896	117
3896	1634	368
1634	4504	117
4504	1634	299
1634	873	117
873	1634	280
1634	1469	117
1469	1634	168
1634	1504	117
1504	1634	244
1634	3424	117
3424	1634	117
1634	4601	117
4601	1634	124
1634	4705	117
4705	1634	215
1634	4986	117
4986	1634	187
1634	940	117
940	1634	395
1634	1064	117
1064	1634	387
1634	1421	117
1421	1634	12
1634	3167	117
3167	1634	53
1634	3861	117
3861	1634	173
1634	4044	117
4044	1634	112
1634	4287	117
4287	1634	71
1634	1086	117
1086	1634	371
1634	2023	117
2023	1634	8
1634	2671	117
2671	1634	52
1634	1314	117
1314	1634	210
1634	2777	117
2777	1634	109
1634	2835	117
2835	1634	392
1634	3519	117
3519	1634	43
1634	1299	117
1299	1634	373
1634	1375	117
1375	1634	18
1634	1468	117
1468	1634	378
1634	1670	117
1670	1634	347
1634	2731	117
2731	1634	124
1634	1705	117
1705	1634	320
1634	1714	117
1714	1634	177
1634	3261	117
3261	1634	245
1634	3566	117
3566	1634	270
1634	1728	117
1728	1634	283
1634	1841	117
1841	1634	41
1634	2165	117
2165	1634	377
1634	2376	117
2376	1634	298
1634	2969	117
2969	1634	211
1634	2588	117
2588	1634	367
1634	3943	117
3943	1634	368
1634	2722	117
2722	1634	202
1634	2808	117
2808	1634	358
1634	2979	117
2979	1634	157
1634	3598	117
3598	1634	27
1634	3828	117
3828	1634	259
1634	4174	117
4174	1634	230
1634	4798	117
4798	1634	348
1634	3088	117
3088	1634	295
1634	3880	117
3880	1634	273
1634	2799	117
2799	1634	272
1634	3253	117
3253	1634	101
1634	4485	117
4485	1634	380
1634	2892	117
2892	1634	173
1634	3057	117
3057	1634	14
1634	3567	117
3567	1634	8
1634	3447	117
3447	1634	173
1634	4300	117
4300	1634	350
1634	3798	117
3798	1634	178
1634	3825	117
3825	1634	150
1634	3894	117
3894	1634	38
1634	4310	117
4310	1634	262
1634	4731	117
4731	1634	87
3932	1403	179
1403	3932	37
3932	3565	179
3565	3932	47
3932	339	179
339	3932	157
3932	739	179
739	3932	137
3932	1125	179
1125	3932	263
3932	1178	179
1178	3932	155
3932	1630	179
1630	3932	5
3932	1901	179
1901	3932	367
3932	2354	179
2354	3932	399
3932	2375	179
2375	3932	238
3932	4086	179
4086	3932	17
3932	4292	179
4292	3932	23
3932	4530	179
4530	3932	307
3932	4577	179
4577	3932	369
3932	4691	179
4691	3932	359
4290	2244	367
2244	4290	357
4290	3153	367
3153	4290	73
4290	4948	367
4948	4290	388
4115	4697	11
4697	4115	394
4115	329	11
329	4115	288
4115	2354	11
2354	4115	399
4115	4151	11
4151	4115	165
4830	2059	276
2059	4830	172
4830	2648	276
2648	4830	299
4830	243	276
243	4830	297
4830	553	276
553	4830	350
4830	1335	276
1335	4830	340
4830	1817	276
1817	4830	169
4830	3648	276
3648	4830	235
4830	4153	276
4153	4830	211
4830	50	276
50	4830	175
4830	1621	276
1621	4830	221
4830	1654	276
1654	4830	49
4830	2070	276
2070	4830	11
4830	2284	276
2284	4830	305
4830	2935	276
2935	4830	6
4830	3390	276
3390	4830	385
4830	3958	276
3958	4830	72
4830	4575	276
4575	4830	193
4830	4992	276
4992	4830	24
3757	2667	232
2667	3757	13
3757	3066	232
3066	3757	160
3757	4349	232
4349	3757	358
907	129	199
129	907	196
907	460	199
460	907	115
907	595	199
595	907	276
907	989	199
989	907	341
907	1862	199
1862	907	282
907	2182	199
2182	907	254
907	2354	199
2354	907	399
907	2551	199
2551	907	142
907	2584	199
2584	907	141
907	2702	199
2702	907	335
907	3019	199
3019	907	200
907	3313	199
3313	907	241
907	3817	199
3817	907	179
907	4493	199
4493	907	21
1447	265	78
265	1447	89
1447	629	78
629	1447	24
1447	662	78
662	1447	231
1447	792	78
792	1447	48
1447	962	78
962	1447	71
1447	1284	78
1284	1447	110
1447	1394	78
1394	1447	104
1447	595	78
595	1447	276
1447	1477	78
1477	1447	133
1447	1564	78
1564	1447	233
1447	1710	78
1710	1447	309
1447	2483	78
2483	1447	175
1447	2986	78
2986	1447	190
1447	3651	78
3651	1447	37
1447	3688	78
3688	1447	289
1447	3889	78
3889	1447	159
1447	4252	78
4252	1447	30
1447	4807	78
4807	1447	40
1447	4856	78
4856	1447	105
1447	4072	78
4072	1447	359
2173	2942	48
2942	2173	221
2528	4207	332
4207	2528	203
2528	1071	332
1071	2528	240
2528	3577	332
3577	2528	104
2528	370	332
370	2528	104
2528	447	332
447	2528	63
2528	990	332
990	2528	62
2528	3264	332
3264	2528	81
2528	1305	332
1305	2528	131
2528	2337	332
2337	2528	140
2528	3915	332
3915	2528	244
2873	507	388
507	2873	9
2873	1812	388
1812	2873	277
1635	2998	282
2998	1635	85
1635	4496	282
4496	1635	39
1635	1650	282
1650	1635	197
1635	1373	282
1373	1635	339
1635	2884	282
2884	1635	52
1635	4769	282
4769	1635	58
1635	2816	282
2816	1635	211
1635	4883	282
4883	1635	155
4116	3923	17
3923	4116	36
4116	129	17
129	4116	196
4116	290	17
290	4116	224
4116	595	17
595	4116	276
4116	2354	17
2354	4116	399
4116	2551	17
2551	4116	142
4116	3019	17
3019	4116	200
4116	3313	17
3313	4116	241
4116	3817	17
3817	4116	179
4116	4493	17
4493	4116	21
4116	4853	17
4853	4116	91
3758	2174	385
2174	3758	168
3758	2354	385
2354	3758	399
3758	4975	385
4975	3758	188
2	2992	293
2992	2	163
2	3153	293
3153	2	73
565	329	228
329	565	288
565	401	228
401	565	144
565	690	228
690	565	44
565	2354	228
2354	565	399
565	2695	228
2695	565	204
565	2698	228
2698	565	201
565	2715	228
2715	565	107
565	2857	228
2857	565	351
565	3620	228
3620	565	180
565	4151	228
4151	565	165
565	4457	228
4457	565	252
3046	2265	80
2265	3046	246
3046	4507	80
4507	3046	160
3583	2962	234
2962	3583	373
3583	2428	234
2428	3583	112
3583	3235	234
3235	3583	85
3583	796	234
796	3583	391
3583	888	234
888	3583	297
3583	3966	234
3966	3583	1
3583	4472	234
4472	3583	239
384	3153	378
3153	384	73
3	1943	154
1943	3	311
3	3053	154
3053	3	240
3	466	154
466	3	384
194	415	4
415	194	364
194	852	4
852	194	87
194	995	4
995	194	308
194	1324	4
1324	194	201
194	1544	4
1544	194	296
194	2445	4
2445	194	265
194	2449	4
2449	194	32
194	3415	4
3415	194	4
194	3422	4
3422	194	174
194	3739	4
3739	194	97
194	3830	4
3830	194	360
194	4075	4
4075	194	298
194	4291	4
4291	194	263
194	4717	4
4717	194	290
194	4780	4
4780	194	191
194	3671	4
3671	194	286
3759	1059	216
1059	3759	36
3759	2249	216
2249	3759	146
3759	2348	216
2348	3759	211
3759	2774	216
2774	3759	104
3759	2983	216
2983	3759	242
3759	3631	216
3631	3759	281
3759	3979	216
3979	3759	309
3759	4198	216
4198	3759	234
3759	4389	216
4389	3759	381
195	3066	246
3066	195	160
3933	1630	336
1630	3933	5
3933	3565	336
3565	3933	47
566	853	28
853	566	307
566	2559	28
2559	566	325
566	2798	28
2798	566	382
566	339	28
339	566	157
566	928	28
928	566	121
566	1176	28
1176	566	327
566	1493	28
1493	566	305
566	1644	28
1644	566	277
566	2354	28
2354	566	399
566	3158	28
3158	566	124
566	3498	28
3498	566	285
566	3878	28
3878	566	100
566	4005	28
4005	566	313
566	4052	28
4052	566	58
566	4480	28
4480	566	318
3233	3599	223
3599	3233	209
3233	4757	223
4757	3233	379
3233	72	223
72	3233	154
3233	397	223
397	3233	74
3233	550	223
550	3233	206
3233	1658	223
1658	3233	156
3233	2793	223
2793	3233	264
3233	4476	223
4476	3233	99
3233	4663	223
4663	3233	140
3233	4761	223
4761	3233	107
1448	473	377
473	1448	87
1448	661	377
661	1448	87
1448	933	377
933	1448	395
1448	1606	377
1606	1448	99
1448	1874	377
1874	1448	136
1448	1950	377
1950	1448	63
1448	2234	377
2234	1448	102
1448	2513	377
2513	1448	55
1448	2566	377
2566	1448	212
1448	2738	377
2738	1448	118
1448	3138	377
3138	1448	265
1448	3722	377
3722	1448	144
1448	4178	377
4178	1448	244
1448	649	377
649	1448	82
2529	221	197
221	2529	10
2529	412	197
412	2529	388
2529	998	197
998	2529	7
2529	1082	197
1082	2529	280
2529	1524	197
1524	2529	224
2529	1534	197
1534	2529	257
2529	2081	197
2081	2529	159
2529	4953	197
4953	2529	209
4	819	396
819	4	73
4	1021	396
1021	4	23
4	2354	396
2354	4	399
4	899	396
899	4	394
4117	3165	232
3165	4117	315
4117	2028	232
2028	4117	59
4117	20	232
20	4117	330
4117	84	232
84	4117	31
4117	554	232
554	4117	40
4117	1361	232
1361	4117	311
4117	3808	232
3808	4117	192
4117	4362	232
4362	4117	24
2691	3535	332
3535	2691	127
2691	592	332
592	2691	10
2691	1271	332
1271	2691	45
2691	1475	332
1475	2691	285
2691	588	332
588	2691	180
2691	2973	332
2973	2691	196
2691	3239	332
3239	2691	226
2691	3626	332
3626	2691	29
2691	4429	332
4429	2691	49
908	796	90
796	908	391
908	888	90
888	908	297
908	2962	90
2962	908	373
908	3966	90
3966	908	1
908	4472	90
4472	908	239
1816	2354	84
2354	1816	399
1816	4516	84
4516	1816	102
1816	4576	84
4576	1816	323
1816	4789	84
4789	1816	367
1982	3666	308
3666	1982	73
1982	1145	308
1145	1982	265
1982	1216	308
1216	1982	64
1982	1833	308
1833	1982	139
1982	1632	308
1632	1982	115
1982	2249	308
2249	1982	146
1982	3557	308
3557	1982	263
1982	3979	308
3979	1982	309
1982	4550	308
4550	1982	154
1982	343	308
343	1982	102
1982	3091	308
3091	1982	261
1982	3485	308
3485	1982	268
1982	4118	308
4118	1982	158
1982	4914	308
4914	1982	289
1982	1797	308
1797	1982	26
1982	2785	308
2785	1982	200
1982	3022	308
3022	1982	108
1982	3784	308
3784	1982	233
1982	4211	308
4211	1982	81
1982	4545	308
4545	1982	286
1982	820	308
820	1982	22
1982	1072	308
1072	1982	100
1982	3070	308
3070	1982	284
2174	340	168
340	2174	319
2174	2354	168
2354	2174	399
567	4620	129
4620	567	295
196	3066	296
3066	196	160
196	4443	296
4443	196	111
1262	3800	349
3800	1262	225
4649	4877	61
4877	4649	194
4649	808	61
808	4649	86
4649	932	61
932	4649	106
4649	1599	61
1599	4649	129
4649	2316	61
2316	4649	340
4649	2686	61
2686	4649	20
4649	2852	61
2852	4649	175
4649	4070	61
4070	4649	68
4649	4442	61
4442	4649	150
4649	339	61
339	4649	157
4649	1206	61
1206	4649	102
4649	2354	61
2354	4649	399
4649	4934	61
4934	4649	198
1817	2059	169
2059	1817	172
1817	2284	169
2284	1817	305
1817	2648	169
2648	1817	299
1817	243	169
243	1817	297
1817	553	169
553	1817	350
1817	1335	169
1335	1817	340
1817	50	169
50	1817	175
1817	1621	169
1621	1817	221
1817	1654	169
1654	1817	49
1817	2070	169
2070	1817	11
1817	2544	169
2544	1817	31
1817	2935	169
2935	1817	6
1817	3390	169
3390	1817	385
1817	3958	169
3958	1817	72
1817	4153	169
4153	1817	211
1817	4575	169
4575	1817	193
1817	4992	169
4992	1817	24
1817	3648	169
3648	1817	235
2530	2354	76
2354	2530	399
2530	605	76
605	2530	317
2530	4528	76
4528	2530	362
2530	4964	76
4964	2530	138
2347	292	228
292	2347	52
2347	706	228
706	2347	176
2347	2289	228
2289	2347	77
2347	2354	228
2354	2347	399
2347	2668	228
2668	2347	222
2347	2710	228
2710	2347	261
2347	3054	228
3054	2347	101
2347	4680	228
4680	2347	165
2531	2982	390
2982	2531	100
2531	3031	390
3031	2531	366
2531	238	390
238	2531	243
2531	2158	390
2158	2531	323
2531	95	390
95	2531	47
2531	905	390
905	2531	355
2531	2398	390
2398	2531	184
2531	3130	390
3130	2531	206
2531	3968	390
3968	2531	171
2531	4758	390
4758	2531	88
2531	251	390
251	2531	292
2531	2042	390
2042	2531	78
2531	2057	390
2057	2531	388
2531	2212	390
2212	2531	329
2531	2302	390
2302	2531	10
2531	2414	390
2414	2531	132
2531	3791	390
3791	2531	75
2531	323	390
323	2531	342
2531	2403	390
2403	2531	138
2531	2430	390
2430	2531	91
2531	367	390
367	2531	205
2531	4018	390
4018	2531	277
2531	604	390
604	2531	339
2531	1699	390
