5000	39778
1	172	47
172	1	115
1	175	47
175	1	54
1	177	47
177	1	192
1	180	47
180	1	107
1	185	47
185	1	355
1	191	47
191	1	320
1	192	47
192	1	53
1	195	47
195	1	51
1	197	47
197	1	287
1	201	47
201	1	194
1	209	47
209	1	179
1	213	47
213	1	255
1	214	47
214	1	64
1	215	47
215	1	336
1	218	47
218	1	287
1	219	47
219	1	362
1	222	47
222	1	81
1	224	47
224	1	19
1	233	47
233	1	58
1	234	47
234	1	173
1	238	47
238	1	217
1	239	47
239	1	312
1	249	47
249	1	370
1	251	47
251	1	174
1	259	47
259	1	315
1	260	47
260	1	337
1	261	47
261	1	6
1	287	47
287	1	396
1	290	47
290	1	399
1	292	47
292	1	77
1	297	47
297	1	277
1	298	47
298	1	232
1	309	47
309	1	243
1	313	47
313	1	128
1	316	47
316	1	344
1	318	47
318	1	363
1	319	47
319	1	179
1	320	47
320	1	225
1	321	47
321	1	242
1	322	47
322	1	310
1	323	47
323	1	155
1	341	47
341	1	223
1	346	47
346	1	148
1	347	47
347	1	136
1	348	47
348	1	151
1	352	47
352	1	186
1	355	47
355	1	257
1	357	47
357	1	279
1	359	47
359	1	75
1	360	47
360	1	378
1	361	47
361	1	126
1	366	47
366	1	184
1	374	47
374	1	66
1	377	47
377	1	16
1	382	47
382	1	95
1	385	47
385	1	85
1	387	47
387	1	102
1	389	47
389	1	79
1	391	47
391	1	129
1	392	47
392	1	379
1	395	47
395	1	299
1	396	47
396	1	141
1	399	47
399	1	323
1	400	47
400	1	386
1	403	47
403	1	332
1	404	47
404	1	144
1	406	47
406	1	220
1	407	47
407	1	199
1	408	47
408	1	6
1	409	47
409	1	27
1	410	47
410	1	65
1	412	47
412	1	106
1	413	47
413	1	6
1	415	47
415	1	14
1	416	47
416	1	207
1	419	47
419	1	130
1	432	47
432	1	93
1	436	47
436	1	60
1	445	47
445	1	176
1	446	47
446	1	171
1	450	47
450	1	253
1	462	47
462	1	160
1	472	47
472	1	114
1	477	47
477	1	400
1	485	47
485	1	333
1	489	47
489	1	101
1	497	47
497	1	375
1	502	47
502	1	40
1	508	47
508	1	243
1	510	47
510	1	241
1	518	47
518	1	349
1	532	47
532	1	258
1	535	47
535	1	293
1	538	47
538	1	9
1	549	47
549	1	148
1	553	47
553	1	252
1	583	47
583	1	129
1	593	47
593	1	316
1	596	47
596	1	110
1	617	47
617	1	95
1	623	47
623	1	80
1	652	47
652	1	37
1	667	47
667	1	382
1	674	47
674	1	323
1	677	47
677	1	223
1	683	47
683	1	256
1	685	47
685	1	351
1	709	47
709	1	38
1	740	47
740	1	48
1	746	47
746	1	362
1	749	47
749	1	77
1	760	47
760	1	167
1	778	47
778	1	100
1	794	47
794	1	81
1	804	47
804	1	176
1	812	47
812	1	101
1	819	47
819	1	230
1	823	47
823	1	400
1	828	47
828	1	107
1	831	47
831	1	312
1	858	47
858	1	128
1	869	47
869	1	346
1	872	47
872	1	208
1	876	47
876	1	319
1	880	47
880	1	38
1	888	47
888	1	302
1	902	47
902	1	37
1	905	47
905	1	102
1	906	47
906	1	302
1	908	47
908	1	361
1	912	47
912	1	16
1	927	47
927	1	195
1	939	47
939	1	370
1	956	47
956	1	387
1	989	47
989	1	323
1	991	47
991	1	251
1	993	47
993	1	108
1	1000	47
1000	1	318
1	1003	47
1003	1	117
1	1056	47
1056	1	368
1	1062	47
1062	1	64
1	1084	47
1084	1	60
1	1157	47
1157	1	130
1	1163	47
1163	1	376
1	1203	47
1203	1	125
1	1226	47
1226	1	107
1	1234	47
1234	1	291
1	1267	47
1267	1	126
1	1273	47
1273	1	39
1	1277	47
1277	1	385
1	1288	47
1288	1	313
1	1289	47
1289	1	334
1	1290	47
1290	1	280
1	1291	47
1291	1	199
1	1292	47
1292	1	316
1	1293	47
1293	1	169
1	1294	47
1294	1	147
1	1295	47
1295	1	110
1	1296	47
1296	1	65
1	1297	47
1297	1	375
1	1298	47
1298	1	65
1	1299	47
1299	1	226
1	1300	47
1300	1	45
1	1301	47
1301	1	151
1	1302	47
1302	1	29
1	1303	47
1303	1	109
1	1304	47
1304	1	192
1	1371	47
1371	1	48
1	1732	47
1732	1	337
1	1853	47
1853	1	150
1	2086	47
2086	1	285
1	2151	47
2151	1	224
1	2196	47
2196	1	337
1	2198	47
2198	1	292
1	2308	47
2308	1	172
1	2337	47
2337	1	303
1	2359	47
2359	1	1
1	2384	47
2384	1	313
1	2517	47
2517	1	319
1	2565	47
2565	1	356
1	2834	47
2834	1	194
1	3168	47
3168	1	20
1	3178	47
3178	1	263
1	3185	47
3185	1	114
1	3217	47
3217	1	217
1	3277	47
3277	1	100
1	3360	47
3360	1	207
1	3386	47
3386	1	313
1	3459	47
3459	1	295
1	3581	47
3581	1	12
1	3584	47
3584	1	342
1	3683	47
3683	1	28
1	3725	47
3725	1	235
1	3810	47
3810	1	53
1	3826	47
3826	1	342
1	3849	47
3849	1	149
1	3924	47
3924	1	336
1	3939	47
3939	1	95
1	3945	47
3945	1	154
1	3953	47
3953	1	183
1	3955	47
3955	1	300
1	3957	47
3957	1	205
1	3967	47
3967	1	34
1	3969	47
3969	1	398
1	3976	47
3976	1	127
1	3980	47
3980	1	400
1	3982	47
3982	1	232
1	3983	47
3983	1	87
1	3985	47
3985	1	364
1	3990	47
3990	1	367
1	3992	47
3992	1	254
1	3997	47
3997	1	368
1	3998	47
3998	1	337
1	4000	47
4000	1	308
1	4001	47
4001	1	382
1	4005	47
4005	1	347
1	4006	47
4006	1	108
1	4007	47
4007	1	236
1	4008	47
4008	1	166
1	4009	47
4009	1	225
1	4010	47
4010	1	210
1	4011	47
4011	1	381
1	4012	47
4012	1	349
1	4013	47
4013	1	258
1	4014	47
4014	1	224
1	4015	47
4015	1	10
1	4016	47
4016	1	364
1	4017	47
4017	1	171
1	4018	47
4018	1	233
1	4019	47
4019	1	288
1	4057	47
4057	1	275
1	4422	47
4422	1	264
1	4569	47
4569	1	272
1	4587	47
4587	1	99
1	4600	47
4600	1	384
1	4602	47
4602	1	331
1	4817	47
4817	1	324
1	4894	47
4894	1	180
1	4907	47
4907	1	102
1	4909	47
4909	1	393
2	17	224
17	2	182
2	24	224
24	2	362
2	42	224
42	2	249
2	52	224
52	2	50
2	64	224
64	2	196
2	74	224
74	2	382
2	75	224
75	2	163
2	81	224
81	2	8
2	87	224
87	2	306
2	97	224
97	2	342
2	106	224
106	2	41
2	107	224
107	2	323
2	108	224
108	2	400
2	109	224
109	2	328
2	110	224
110	2	29
2	111	224
111	2	227
2	112	224
112	2	397
2	113	224
113	2	263
2	114	224
114	2	336
2	115	224
115	2	147
2	116	224
116	2	36
2	117	224
117	2	95
2	118	224
118	2	167
2	119	224
119	2	284
2	130	224
130	2	326
2	132	224
132	2	91
2	141	224
141	2	344
2	149	224
149	2	223
2	160	224
160	2	248
2	172	224
172	2	115
2	175	224
175	2	54
2	185	224
185	2	355
2	192	224
192	2	53
2	206	224
206	2	118
2	209	224
209	2	179
2	212	224
212	2	356
2	301	224
301	2	199
2	359	224
359	2	75
2	393	224
393	2	381
2	403	224
403	2	332
2	406	224
406	2	220
2	526	224
526	2	180
2	1090	224
1090	2	331
2	2136	224
2136	2	164
2	2285	224
2285	2	72
2	3135	224
3135	2	200
2	3589	224
3589	2	304
2	3992	224
3992	2	254
2	4002	224
4002	2	200
2	4011	224
4011	2	381
2	4020	224
4020	2	92
2232	87	39
87	2232	306
2232	111	39
111	2232	227
2232	125	39
125	2232	379
2232	192	39
192	2232	53
2232	209	39
209	2232	179
2232	247	39
247	2232	27
2232	296	39
296	2232	330
2232	938	39
938	2232	107
3	13	32
13	3	385
3	14	32
14	3	281
3	18	32
18	3	2
3	19	32
19	3	210
3	28	32
28	3	247
3	30	32
30	3	317
3	33	32
33	3	294
3	36	32
36	3	254
3	37	32
37	3	124
3	39	32
39	3	310
3	45	32
45	3	189
3	50	32
50	3	44
3	51	32
51	3	141
3	52	32
52	3	50
3	59	32
59	3	109
3	60	32
60	3	14
3	64	32
64	3	196
3	74	32
74	3	382
3	81	32
81	3	8
3	86	32
86	3	173
3	88	32
88	3	365
3	89	32
89	3	394
3	91	32
91	3	267
3	94	32
94	3	19
3	116	32
116	3	36
3	117	32
117	3	95
3	118	32
118	3	167
3	121	32
121	3	206
3	123	32
123	3	63
3	127	32
127	3	123
3	130	32
130	3	326
3	131	32
131	3	136
3	132	32
132	3	91
3	137	32
137	3	330
3	141	32
141	3	344
3	148	32
148	3	363
3	156	32
156	3	196
3	171	32
171	3	157
3	172	32
172	3	115
3	180	32
180	3	107
3	186	32
186	3	159
3	187	32
187	3	322
3	197	32
197	3	287
3	198	32
198	3	211
3	200	32
200	3	73
3	202	32
202	3	158
3	205	32
205	3	170
3	212	32
212	3	356
3	216	32
216	3	382
3	223	32
223	3	244
3	239	32
239	3	312
3	249	32
249	3	370
3	251	32
251	3	174
3	256	32
256	3	338
3	265	32
265	3	120
3	272	32
272	3	310
3	278	32
278	3	154
3	279	32
279	3	374
3	280	32
280	3	346
3	287	32
287	3	396
3	292	32
292	3	77
3	299	32
299	3	391
3	301	32
301	3	199
3	315	32
315	3	139
3	317	32
317	3	221
3	322	32
322	3	310
3	335	32
335	3	158
3	337	32
337	3	272
3	355	32
355	3	257
3	359	32
359	3	75
3	366	32
366	3	184
3	378	32
378	3	231
3	389	32
389	3	79
3	403	32
403	3	332
3	446	32
446	3	171
3	470	32
470	3	23
3	474	32
474	3	187
3	485	32
485	3	333
3	504	32
504	3	215
3	512	32
512	3	288
3	518	32
518	3	349
3	519	32
519	3	117
3	522	32
522	3	273
3	525	32
525	3	19
3	526	32
526	3	180
3	542	32
542	3	56
3	557	32
557	3	176
3	558	32
558	3	156
3	560	32
560	3	366
3	562	32
562	3	54
3	563	32
563	3	1
3	566	32
566	3	11
3	567	32
567	3	112
3	570	32
570	3	126
3	582	32
582	3	79
3	583	32
583	3	129
3	593	32
593	3	316
3	600	32
600	3	234
3	606	32
606	3	273
3	607	32
607	3	332
3	609	32
609	3	230
3	610	32
610	3	190
3	617	32
617	3	95
3	618	32
618	3	1
3	624	32
624	3	9
3	632	32
632	3	176
3	637	32
637	3	385
3	639	32
639	3	75
3	646	32
646	3	398
3	647	32
647	3	248
3	651	32
651	3	303
3	658	32
658	3	155
3	662	32
662	3	353
3	665	32
665	3	91
3	669	32
669	3	20
3	674	32
674	3	323
3	683	32
683	3	256
3	694	32
694	3	394
3	695	32
695	3	236
3	715	32
715	3	128
3	720	32
720	3	280
3	724	32
724	3	212
3	749	32
749	3	77
3	767	32
767	3	46
3	790	32
790	3	398
3	818	32
818	3	235
3	819	32
819	3	230
3	862	32
862	3	141
3	863	32
863	3	34
3	865	32
865	3	229
3	866	32
866	3	123
3	869	32
869	3	346
3	872	32
872	3	208
3	881	32
881	3	321
3	894	32
894	3	235
3	909	32
909	3	325
3	913	32
913	3	394
3	934	32
934	3	17
3	941	32
941	3	195
3	951	32
951	3	31
3	962	32
962	3	386
3	964	32
964	3	206
3	978	32
978	3	246
3	990	32
990	3	210
3	997	32
997	3	391
3	999	32
999	3	86
3	1032	32
1032	3	321
3	1049	32
1049	3	399
3	1067	32
1067	3	175
3	1087	32
1087	3	90
3	1107	32
1107	3	16
3	1126	32
1126	3	223
3	1196	32
1196	3	14
3	1203	32
1203	3	125
3	1234	32
1234	3	291
3	1273	32
1273	3	39
3	1279	32
1279	3	51
3	1282	32
1282	3	147
3	1283	32
1283	3	1
3	1285	32
1285	3	294
3	1288	32
1288	3	313
3	1320	32
1320	3	130
3	1328	32
1328	3	75
3	1333	32
1333	3	384
3	1338	32
1338	3	123
3	1355	32
1355	3	102
3	1359	32
1359	3	62
3	1363	32
1363	3	112
3	1371	32
1371	3	48
3	1372	32
1372	3	318
3	1381	32
1381	3	387
3	1382	32
1382	3	351
3	1384	32
1384	3	81
3	1406	32
1406	3	41
3	1456	32
1456	3	9
3	1502	32
1502	3	397
3	1508	32
1508	3	182
3	1510	32
1510	3	123
3	1512	32
1512	3	278
3	1526	32
1526	3	88
3	1579	32
1579	3	119
3	1634	32
1634	3	41
3	1655	32
1655	3	335
3	1658	32
1658	3	377
3	1669	32
1669	3	280
3	1703	32
1703	3	261
3	1735	32
1735	3	329
3	1835	32
1835	3	119
3	1883	32
1883	3	20
3	1997	32
1997	3	314
3	2025	32
2025	3	72
3	2048	32
2048	3	65
3	2095	32
2095	3	162
3	2133	32
2133	3	156
3	2136	32
2136	3	164
3	2151	32
2151	3	224
3	2166	32
2166	3	15
3	2182	32
2182	3	84
3	2184	32
2184	3	261
3	2225	32
2225	3	189
3	2247	32
2247	3	322
3	2265	32
2265	3	61
3	2282	32
2282	3	267
3	2299	32
2299	3	386
3	2315	32
2315	3	369
3	2316	32
2316	3	40
3	2326	32
2326	3	206
3	2336	32
2336	3	223
3	2345	32
2345	3	282
3	2347	32
2347	3	232
3	2350	32
2350	3	305
3	2352	32
2352	3	148
3	2355	32
2355	3	142
3	2376	32
2376	3	76
3	2583	32
2583	3	304
3	2741	32
2741	3	349
3	2816	32
2816	3	28
3	2834	32
2834	3	194
3	3001	32
3001	3	281
3	3078	32
3078	3	15
3	3109	32
3109	3	225
3	3119	32
3119	3	225
3	3150	32
3150	3	78
3	3211	32
3211	3	43
3	3213	32
3213	3	329
3	3231	32
3231	3	307
3	3240	32
3240	3	83
3	3246	32
3246	3	332
3	3250	32
3250	3	389
3	3258	32
3258	3	296
3	3281	32
3281	3	291
3	3283	32
3283	3	106
3	3293	32
3293	3	395
3	3301	32
3301	3	115
3	3327	32
3327	3	156
3	3335	32
3335	3	123
3	3345	32
3345	3	363
3	3357	32
3357	3	26
3	3360	32
3360	3	207
3	3361	32
3361	3	107
3	3398	32
3398	3	373
3	3405	32
3405	3	77
3	3409	32
3409	3	400
3	3459	32
3459	3	295
3	3550	32
3550	3	333
3	3565	32
3565	3	297
3	3572	32
3572	3	86
3	3582	32
3582	3	266
3	3584	32
3584	3	342
3	3594	32
3594	3	223
3	3601	32
3601	3	183
3	3643	32
3643	3	89
3	3649	32
3649	3	254
3	3651	32
3651	3	322
3	3683	32
3683	3	28
3	3684	32
3684	3	397
3	3694	32
3694	3	278
3	3704	32
3704	3	1
3	3713	32
3713	3	175
3	3799	32
3799	3	321
3	3810	32
3810	3	53
3	3912	32
3912	3	114
3	3994	32
3994	3	178
3	3996	32
3996	3	203
3	3998	32
3998	3	337
3	4002	32
4002	3	200
3	4007	32
4007	3	236
3	4009	32
4009	3	225
3	4013	32
4013	3	258
3	4018	32
4018	3	233
3	4025	32
4025	3	10
3	4034	32
4034	3	147
3	4035	32
4035	3	104
3	4067	32
4067	3	198
3	4069	32
4069	3	247
3	4075	32
4075	3	103
3	4080	32
4080	3	338
3	4082	32
4082	3	37
3	4084	32
4084	3	366
3	4088	32
4088	3	35
3	4091	32
4091	3	19
3	4092	32
4092	3	215
3	4094	32
4094	3	154
3	4106	32
4106	3	33
3	4108	32
4108	3	377
3	4111	32
4111	3	301
3	4116	32
4116	3	24
3	4119	32
4119	3	111
3	4120	32
4120	3	25
3	4148	32
4148	3	163
3	4163	32
4163	3	11
3	4164	32
4164	3	4
3	4165	32
4165	3	173
3	4166	32
4166	3	195
3	4167	32
4167	3	239
3	4168	32
4168	3	160
3	4169	32
4169	3	115
3	4537	32
4537	3	2
3	4572	32
4572	3	370
3	4587	32
4587	3	99
3	4894	32
4894	3	180
4	9	311
9	4	100
4	10	311
10	4	69
4	13	311
13	4	385
4	26	311
26	4	98
4	29	311
29	4	371
4	58	311
58	4	60
4	64	311
64	4	196
4	68	311
68	4	298
4	74	311
74	4	382
4	101	311
101	4	204
4	137	311
137	4	330
4	155	311
155	4	296
4	156	311
156	4	196
4	160	311
160	4	248
4	165	311
165	4	30
4	175	311
175	4	54
4	187	311
187	4	322
4	189	311
189	4	106
4	191	311
191	4	320
4	218	311
218	4	287
4	239	311
239	4	312
4	244	311
244	4	128
4	261	311
261	4	6
4	284	311
284	4	41
4	316	311
316	4	344
4	319	311
319	4	179
4	320	311
320	4	225
4	331	311
331	4	68
4	343	311
343	4	396
4	358	311
358	4	81
4	361	311
361	4	126
4	363	311
363	4	61
4	378	311
378	4	231
4	391	311
391	4	129
4	410	311
410	4	65
4	417	311
417	4	110
4	418	311
418	4	156
4	419	311
419	4	130
4	420	311
420	4	253
4	421	311
421	4	160
4	422	311
422	4	288
4	423	311
423	4	183
4	424	311
424	4	269
4	425	311
425	4	314
4	426	311
426	4	7
4	427	311
427	4	88
4	428	311
428	4	268
4	429	311
429	4	31
4	430	311
430	4	100
4	431	311
431	4	242
4	432	311
432	4	93
4	433	311
433	4	9
4	434	311
434	4	65
4	435	311
435	4	40
4	436	311
436	4	60
4	437	311
437	4	371
4	438	311
438	4	302
4	480	311
480	4	270
4	882	311
882	4	232
4	3992	311
3992	4	254
5	10	202
10	5	69
5	12	202
12	5	331
5	13	202
13	5	385
5	22	202
22	5	326
5	24	202
24	5	362
5	25	202
25	5	123
5	28	202
28	5	247
5	30	202
30	5	317
5	39	202
39	5	310
5	45	202
45	5	189
5	51	202
51	5	141
5	52	202
52	5	50
5	58	202
58	5	60
5	64	202
64	5	196
5	66	202
66	5	152
5	69	202
69	5	1
5	74	202
74	5	382
5	77	202
77	5	335
5	81	202
81	5	8
5	87	202
87	5	306
5	92	202
92	5	176
5	96	202
96	5	32
5	97	202
97	5	342
5	104	202
104	5	393
5	105	202
105	5	71
5	115	202
115	5	147
5	118	202
118	5	167
5	129	202
129	5	128
5	131	202
131	5	136
5	132	202
132	5	91
5	134	202
134	5	396
5	155	202
155	5	296
5	158	202
158	5	32
5	161	202
161	5	278
5	170	202
170	5	67
5	180	202
180	5	107
5	191	202
191	5	320
5	192	202
192	5	53
5	194	202
194	5	60
5	207	202
207	5	206
5	209	202
209	5	179
5	213	202
213	5	255
5	215	202
215	5	336
5	223	202
223	5	244
5	274	202
274	5	35
5	278	202
278	5	154
5	312	202
312	5	274
5	318	202
318	5	363
5	320	202
320	5	225
5	321	202
321	5	242
5	339	202
339	5	310
5	343	202
343	5	396
5	359	202
359	5	75
5	361	202
361	5	126
5	369	202
369	5	237
5	371	202
371	5	97
5	380	202
380	5	226
5	382	202
382	5	95
5	393	202
393	5	381
5	398	202
398	5	323
5	403	202
403	5	332
5	418	202
418	5	156
5	446	202
446	5	171
5	461	202
461	5	289
5	515	202
515	5	6
5	517	202
517	5	249
5	547	202
547	5	44
5	548	202
548	5	159
5	549	202
549	5	148
5	550	202
550	5	202
5	551	202
551	5	328
5	552	202
552	5	250
5	553	202
553	5	252
5	554	202
554	5	204
5	555	202
555	5	309
5	556	202
556	5	321
5	566	202
566	5	11
5	585	202
585	5	12
5	650	202
650	5	7
5	748	202
748	5	32
5	756	202
756	5	194
5	766	202
766	5	315
5	874	202
874	5	49
5	885	202
885	5	314
5	908	202
908	5	361
5	928	202
928	5	200
5	939	202
939	5	370
5	948	202
948	5	260
5	949	202
949	5	380
5	951	202
951	5	31
5	973	202
973	5	4
5	1273	202
1273	5	39
5	3909	202
3909	5	2
5	3930	202
3930	5	227
5	3941	202
3941	5	397
5	3991	202
3991	5	89
6	28	374
28	6	247
6	35	374
35	6	28
6	37	374
37	6	124
6	50	374
50	6	44
6	64	374
64	6	196
6	66	374
66	6	152
6	74	374
74	6	382
6	77	374
77	6	335
6	81	374
81	6	8
6	87	374
87	6	306
6	104	374
104	6	393
6	133	374
133	6	210
6	184	374
184	6	42
6	333	374
333	6	25
6	421	374
421	6	160
6	665	374
665	6	91
6	745	374
745	6	52
6	759	374
759	6	61
6	1030	374
1030	6	32
6	1056	374
1056	6	368
6	2184	374
2184	6	261
6	3465	374
3465	6	139
6	3980	374
3980	6	400
6	4009	374
4009	6	225
6	4056	374
4056	6	99
6	4587	374
4587	6	99
6	4909	374
4909	6	393
7	42	79
42	7	249
7	47	79
47	7	68
7	64	79
64	7	196
7	66	79
66	7	152
7	74	79
74	7	382
7	118	79
118	7	167
7	155	79
155	7	296
7	192	79
192	7	53
7	297	79
297	7	277
7	319	79
319	7	179
7	330	79
330	7	152
7	331	79
331	7	68
7	332	79
332	7	58
7	333	79
333	7	25
7	334	79
334	7	363
7	335	79
335	7	158
7	336	79
336	7	18
7	510	79
510	7	241
7	934	79
934	7	17
7	939	79
939	7	370
7	3584	79
3584	7	342
7	4161	79
4161	7	349
8	24	101
24	8	362
8	58	101
58	8	60
8	64	101
64	8	196
8	68	101
68	8	298
8	87	101
87	8	306
8	125	101
125	8	379
8	133	101
133	8	210
8	135	101
135	8	71
8	158	101
158	8	32
8	175	101
175	8	54
8	178	101
178	8	358
8	179	101
179	8	291
8	180	101
180	8	107
8	181	101
181	8	27
8	182	101
182	8	342
8	183	101
183	8	212
8	184	101
184	8	42
8	185	101
185	8	355
8	905	101
905	8	102
8	2159	101
2159	8	315
9	21	100
21	9	380
9	33	100
33	9	294
9	37	100
37	9	124
9	45	100
45	9	189
9	64	100
64	9	196
9	66	100
66	9	152
9	91	100
91	9	267
9	125	100
125	9	379
9	141	100
141	9	344
9	251	100
251	9	174
9	409	100
409	9	27
9	556	100
556	9	321
9	1131	100
1131	9	87
9	1306	100
1306	9	231
9	3971	100
3971	9	269
10	14	69
14	10	281
10	20	69
20	10	279
10	21	69
21	10	380
10	22	69
22	10	326
10	24	69
24	10	362
10	25	69
25	10	123
10	27	69
27	10	368
10	28	69
28	10	247
10	29	69
29	10	371
10	30	69
30	10	317
10	31	69
31	10	120
10	32	69
32	10	188
10	33	69
33	10	294
10	34	69
34	10	292
10	35	69
35	10	28
10	36	69
36	10	254
10	37	69
37	10	124
10	38	69
38	10	231
10	39	69
39	10	310
10	40	69
40	10	163
10	41	69
41	10	176
10	42	69
42	10	249
10	43	69
43	10	183
10	44	69
44	10	26
10	45	69
45	10	189
10	46	69
46	10	38
10	47	69
47	10	68
10	48	69
48	10	202
10	49	69
49	10	249
10	50	69
50	10	44
10	51	69
51	10	141
10	52	69
52	10	50
10	53	69
53	10	113
10	54	69
54	10	143
10	55	69
55	10	120
10	56	69
56	10	149
10	57	69
57	10	150
10	58	69
58	10	60
10	59	69
59	10	109
10	60	69
60	10	14
10	61	69
61	10	256
10	62	69
62	10	15
10	63	69
63	10	6
10	64	69
64	10	196
10	65	69
65	10	382
10	66	69
66	10	152
10	67	69
67	10	340
10	68	69
68	10	298
10	69	69
69	10	1
10	70	69
70	10	252
10	71	69
71	10	390
10	72	69
72	10	86
10	73	69
73	10	283
10	74	69
74	10	382
10	75	69
75	10	163
10	76	69
76	10	62
10	77	69
77	10	335
10	78	69
78	10	371
10	79	69
79	10	172
10	80	69
80	10	255
10	81	69
81	10	8
10	82	69
82	10	149
10	83	69
83	10	181
10	84	69
84	10	25
10	85	69
85	10	150
10	86	69
86	10	173
10	87	69
87	10	306
10	88	69
88	10	365
10	89	69
89	10	394
10	90	69
90	10	193
10	91	69
91	10	267
10	92	69
92	10	176
10	93	69
93	10	83
10	94	69
94	10	19
10	95	69
95	10	118
10	96	69
96	10	32
10	97	69
97	10	342
10	98	69
98	10	58
10	116	69
116	10	36
10	118	69
118	10	167
10	153	69
153	10	307
10	174	69
174	10	27
10	371	69
371	10	97
10	510	69
510	10	241
10	557	69
557	10	176
10	675	69
675	10	344
10	759	69
759	10	61
10	842	69
842	10	319
10	902	69
902	10	37
10	939	69
939	10	370
10	1256	69
1256	10	383
10	1388	69
1388	10	63
10	3683	69
3683	10	28
10	3909	69
3909	10	2
10	3945	69
3945	10	154
10	3966	69
3966	10	295
10	3990	69
3990	10	367
10	4005	69
4005	10	347
10	4013	69
4013	10	258
10	4014	69
4014	10	224
10	4117	69
4117	10	121
3195	209	236
209	3195	179
3195	238	236
238	3195	217
3195	1343	236
1343	3195	26
3195	1536	236
1536	3195	302
3195	3945	236
3945	3195	154
11	18	188
18	11	2
11	22	188
22	11	326
11	24	188
24	11	362
11	37	188
37	11	124
11	58	188
58	11	60
11	64	188
64	11	196
11	74	188
74	11	382
11	75	188
75	11	163
11	78	188
78	11	371
11	86	188
86	11	173
11	87	188
87	11	306
11	100	188
100	11	374
11	109	188
109	11	328
11	111	188
111	11	227
11	116	188
116	11	36
11	125	188
125	11	379
11	131	188
131	11	136
11	132	188
132	11	91
11	134	188
134	11	396
11	135	188
135	11	71
11	136	188
136	11	265
11	137	188
137	11	330
11	140	188
140	11	276
11	142	188
142	11	345
11	143	188
143	11	182
11	149	188
149	11	223
11	154	188
154	11	144
11	155	188
155	11	296
11	156	188
156	11	196
11	157	188
157	11	274
11	158	188
158	11	32
11	166	188
166	11	234
11	170	188
170	11	67
11	171	188
171	11	157
11	187	188
187	11	322
11	191	188
191	11	320
